"group","ideal_point","std_error","lower_ci","upper_ci"
"chamber of commerce of the united states of america",-1.01790037157464,0.0597228307789003,-1.13495711990129,-0.900843623247999
"washington legal fdn",-0.985941773619466,0.063725938645824,-1.11084461336528,-0.861038933873651
"pacific legal fdn",-0.89905099732385,0.0787986697967717,-1.05349639012552,-0.744605604522178
"natl fed of independent business small business legal ctr",-0.893897550683501,0.0555280268424786,-1.00273248329476,-0.785062618072243
"natl assn of manufacturers",-0.829269665170728,0.0677037059987635,-0.961968928928304,-0.696570401413151
"immigration reform law inst",-0.825479426717145,0.0710520019043567,-0.964741350449684,-0.686217502984606
"buckeye inst",-0.824281197432825,0.0569719946605209,-0.935946306967446,-0.712616087898204
"southeastern legal fdn",-0.803455142567241,0.0684411860783052,-0.937599867280719,-0.669310417853763
"ctr for constitutional jurisprudence",-0.790055221671144,0.0935190624669263,-0.973352584106319,-0.606757859235968
"cato inst",-0.788551239323067,0.10608963948649,-0.996486932716588,-0.580615545929547
"atlantic legal fdn",-0.776342766020066,0.0623319898165944,-0.898513466060591,-0.654172065979541
"manhattan inst",-0.766162111397538,0.0799764778739538,-0.922916008030488,-0.609408214764589
"conservative legal defense and education fund",-0.761309118449901,0.0764551691563882,-0.911161249996422,-0.61145698690338
"new civil liberties alliance",-0.761300194617247,0.0859437806621774,-0.929750004715114,-0.592850384519379
"liberty justice ctr",-0.753513029398277,0.0672865370216909,-0.885394641960791,-0.621631416835763
"americans for prosperity fdn",-0.699625888807225,0.0945281604022824,-0.884901083195699,-0.514350694418752
"citizens united",-0.681767007816971,0.0769710856540919,-0.832630335698991,-0.530903679934951
"citizens united fdn",-0.676204466575708,0.0800699404514741,-0.833141549860598,-0.519267383290819
"america’s future",-0.66477018323754,0.0661918391387286,-0.794506187949448,-0.535034178525632
"restoring liberty action comm",-0.650566408295707,0.0881685707585256,-0.823376806982418,-0.477756009608997
"u.s. constitutional rights legal defense fund",-0.648606740718002,0.0679766401262645,-0.78184095536548,-0.515372526070524
"gun owners of america",-0.643912050125679,0.0760631502348921,-0.792995824586067,-0.49482827566529
"gun owners fdn",-0.643911945982848,0.0785082976140464,-0.797788209306379,-0.490035682659317
"reason fdn",-0.640220951966919,0.0883591967621542,-0.813404977620741,-0.467036926313096
"public advocate of the united states",-0.637209029013016,0.0858766289876816,-0.805527221828872,-0.468890836197161
"landmark legal fdn",-0.636645247460995,0.0869286286737476,-0.80702535966154,-0.46626513526045
