"case","year","difficulty","discrimination"
"18_766",18,0.417204953999202,-1.82138395934044
"18_1521",18,-0.467505586101536,-0.481196024007478
"23_819",23,0.384740657032038,-2.00373561465303
"19_511",19,0.637090036211017,-2.12840708107657
"20_1531",20,-0.423513221685986,-3.77149988567977
"23_727",23,-1.28325335087733,-3.67463043662585
"22_200",22,0.240102435625739,-1.50280209863122
"19_357",19,-0.0420413245861414,1.87834090515256
"23_753",23,0.946775118866625,-0.415115145165159
"21_1599",21,0.473620235774076,-1.0507317589307
"19_1231",19,-0.533898472450624,-2.80424119558021
"18_1451",18,0.305814373046204,-1.52447228905335
"19_292",19,0.626189572224605,-1.1039557937537
"23_156",23,0.492425551888693,-2.04552965353409
"19_841",19,0.61375934255596,1.64229916411946
"19_547",19,-0.707687610503282,0.237814528310651
"20_827",20,-0.657574787370408,-1.55458386200533
"23_926",23,0.661442180891661,-2.6902420403307
"24_109",24,-0.541899372452472,0.0647540718644883
"20_928",20,0.138713959270279,1.40000696147958
"21_499",21,0.0126850326821016,0.841731153128497
"21_234",21,0.650967614570515,-0.0933290105943214
"18_6135",18,0.549903229673523,1.25435621834072
"22_842",22,0.856028998445459,-3.59868928896235
"19_676",19,0.973748854363079,-0.288387460211121
"22_824",22,0.470234289914593,-1.26540861419976
"18_726",18,-0.840390837627446,-2.30195833930518
"22_1165",22,-0.0542405571941457,-2.14461118106465
"23_876",23,0.613791093592557,-2.71542770184387
"18_18",18,0.623891467588944,-1.04953585199054
"24_316",24,0.843926232491561,2.05509928655909
"23_344",23,0.613318837166548,-0.733532974784864
"21_377",21,-0.556248014211442,-0.0667370155259945
"20_255",20,-1.46776276850585,0.524343458571726
"19_416",19,-0.196066047952572,-2.39334703583868
"23_1039",23,-0.176762379252345,-2.22670739843128
"20_1778",20,-0.415047350397862,-3.80189720211207
"18_5924",18,0.56807754532708,0.197165106327147
"22_1125",22,0.42062176574153,-1.78838683848916
"23_852",23,-0.312639729185707,3.60839250706513
"24_354",24,0.0158760430805878,4.64277593045929
"24_43",24,1.02345803322898,-3.11382972986593
"23_970",23,0.224245868330778,-1.80337389120942
"21_707",21,-0.718588467961181,-6.36104976609244
"21_1557",21,0.664337080989221,-0.750677635052126
"19_1461",19,0.701155577824554,-1.53685981920086
"22_884",22,0.531515759660628,1.6598805333826
"21_1496",21,0.869121649530523,-0.141269781613601
"21_779",21,0.33117307316878,-1.83537533761049
"18_556",18,-0.502731197672655,0.550376769845732
"18_1028",18,0.384753979178442,0.116185172613576
"20_303",20,-0.838106425322342,-2.01601625709432
"22_800",22,0.0873951513922775,-2.07654113320327
"18_12",18,0.531954152514849,-2.05769263904454
"23_997",23,-0.102880124725841,1.0210383986488
"18_944",18,0.749964887980207,-1.76203585709178
"21_1239",21,-0.301470001729905,1.89579623508986
"18_1334",18,-0.477531470608947,-0.490278263744077
"22_96",22,-0.639393144489966,-1.05654367529885
"20_1375",20,0.378991407208642,-1.33040904144488
"22_9",22,0.497771823616114,-0.348955299061391
"21_802",21,0.547586750031836,-2.16192496622981
"19_1173",19,0.511125091607355,0.0621195913554619
"18_956",18,0.347968174215967,1.6423673627229
"21_145",21,0.573282260835382,-2.06851520107534
"22_447",22,0.334292281400289,-1.32338649653652
"19_67",19,-0.678026304196429,-0.660774673469758
"18_451",18,0.434304497256376,-1.68693547035788
"22_674",22,0.533684872987779,1.65795502352855
"21_563",21,0.224562707672967,-1.60104495243178
"22_913",22,0.344168915581625,-1.82350755721027
"19_373",19,0.82973111046562,0.300129328268558
"21_328",21,-0.0189250565659373,1.67982088133837
"21_118",21,0.715526429969861,-0.0765957069661217
"18_1233",18,-0.306046029926115,0.685494973538872
"20_1069",20,0.454379766637597,-1.42991367296943
"19_840",19,0.956164838932824,3.91792592773407
"23_1276",23,0.419985230790112,-1.46998380795544
