case_names,case_id,year
18_766,0,18
18_1521,1,18
23_819,2,23
19_511,3,19
20_1531,4,20
23_727,5,23
22_200,6,22
19_357,7,19
23_753,8,23
21_1599,9,21
19_1231,10,19
18_1451,11,18
19_292,12,19
23_156,13,23
19_841,14,19
19_547,15,19
20_827,16,20
23_926,17,23
24_109,18,24
20_928,19,20
21_499,20,21
21_234,21,21
18_6135,22,18
22_842,23,22
19_676,24,19
22_824,25,22
18_726,26,18
22_1165,27,22
23_876,28,23
18_18,29,18
24_316,30,24
23_344,31,23
21_377,32,21
20_255,33,20
19_416,34,19
23_1039,35,23
20_1778,36,20
18_5924,37,18
22_1125,38,22
23_852,39,23
24_354,40,24
24_43,41,24
23_970,42,23
21_707,43,21
21_1557,44,21
19_1461,45,19
22_884,46,22
21_1496,47,21
21_779,48,21
18_556,49,18
18_1028,50,18
20_303,51,20
22_800,52,22
18_12,53,18
23_997,54,23
18_944,55,18
21_1239,56,21
18_1334,57,18
22_96,58,22
20_1375,59,20
22_9,60,22
21_802,61,21
19_1173,62,19
18_956,63,18
21_145,64,21
22_447,65,22
19_67,66,19
18_451,67,18
22_674,68,22
21_563,69,21
22_913,70,22
19_373,71,19
21_328,72,21
21_118,73,21
18_1233,74,18
20_1069,75,20
19_840,76,19
23_1276,77,23
22_1219,78,22
20_326,79,20
22_179,80,22
24_568,81,24
23_583,82,23
23_13,83,23
18_776,84,18
19_168,85,19
19_1078,86,19
19_847,87,19
23_1270,88,23
18_1150,89,18
20_54,90,20
19_454,91,19
21_1326,92,21
18_302,93,18
21_241,94,21
22_1208,95,22
23_274,96,23
18_824,97,18
18_389,98,18
21_57,99,21
20_297,100,20
23_191,101,23
21_1394,102,21
22_1078,103,22
20_1034,104,20
21_1284,105,21
20_437,106,20
23_51,107,23
20_138,108,20
18_525,109,18
22_429,110,22
20_1223,111,20
21_1195,112,21
23_935,113,23
18_1578,114,18
22_204,115,22
22_138,116,22
18_54,117,18
21_1087,118,21
18_15,119,18
23_3,120,23
21_800,121,21
24_319,122,24
18_1019,123,18
18_882,124,18
20_1693,125,20
22_105,126,22
19_1261,127,19
19_1458,128,19
19_251,129,19
19_508,130,19
19_430,131,19
20_276,132,20
23_235,133,23
19_1401,134,19
20_1019,135,20
18_1165,136,18
18_450,137,18
22_331,138,22
23_133,139,23
22_324,140,22
19_423,141,19
19_309,142,19
21_463,143,21
18_588,144,18
23_719,145,23
19_46,146,19
18_280,147,18
18_1015,148,18
18_1116,149,18
20_18,150,20
19_897,151,19
18_587,152,18
19_1009,153,19
22_1130,154,22
20_1650,155,20
20_107,156,20
21_541,157,21
24_396,158,24
19_863,159,19
21_442,160,21
23_74,161,23
23_170,162,23
18_84,163,18
21_1043,164,21
19_431,165,19
20_1573,166,20
19_1029,167,19
23_477,168,23
18_589,169,18
21_376,170,21
18_485,171,18
19_688,172,19
24_203,173,24
24_350,174,24
23_833,175,23
22_1080,176,22
22_704,177,22
21_69,178,21
23_1150,179,23
20_443,180,20
24_756,181,24
21_380,182,21
18_1538,183,18
21_1333,184,21
18_422,185,18
24_718,186,24
18_1195,187,18
19_635,188,19
19_715,189,19
18_966,190,18
23_450,191,23
19_1066,192,19
23_939,193,23
21_1405,194,21
24_657,195,24
23_217,196,23
22_193,197,22
23_50,198,23
22_227,199,22
24_38,200,24
20_569,201,20
18_663,202,18
22_942,203,22
22_58,204,22
19_1434,205,19
22_976,206,22
17_1623,207,17
18_359,208,18
18_1259,209,18
22_1178,210,22
20_157,211,20
19_1189,212,19
24_7,213,24
18_1171,214,18
22_1008,215,22
18_355,216,18
18_6210,217,18
18_217,218,18
22_448,219,22
24_44,220,24
21_6001,221,21
20_1199,222,20
18_916,223,18
18_926,224,18
20_5904,225,20
23_713,226,23
19_1199,227,19
24_297,228,24
24_422,229,24
24_656,230,24
19_1258,231,19
22_741,232,22
20_1149,233,20
23_392,234,23
19_71,235,19
21_164,236,21
19_1241,237,19
23_1324,238,23
23_1084,239,23
23_1050,240,23
22_888,241,22
22_340,242,22
22_529,243,22
23_270,244,23
23_329,245,23
19_247,246,19
20_1780,247,20
21_1397,248,21
22_190,249,22
20_1088,250,20
23_910,251,23
21_454,252,21
18_9399,253,18
19_679,254,19
20_1678,255,20
18_546,256,18
22_1199,257,22
23_171,258,23
22_451,259,22
19_368,260,19
21_159,261,21
20_559,262,20
23_927,263,23
22_506,264,22
21_1052,265,21
18_881,266,18
18_300,267,18
23_80,268,23
18_1109,269,18
20_318,270,20
23_601,271,23
18_1514,272,18
24_71,273,24
21_440,274,21
22_865,275,22
22_42,276,22
20_1434,277,20
19_439,278,19
20_812,279,20
22_131,280,22
20_979,281,20
23_1002,282,23
23_411,283,23
21_378,284,21
22_174,285,22
18_481,286,18
21_1143,287,21
19_670,288,19
21_348,289,21
22_816,290,22
