group_names,group_id
alliance defending freedom,0
assn of jesuit colleges and universities,1
men of reform judaism,2
natl veterans legal services program,3
billy graham evangelistic assn,4
roughrider policy ctr,5
hp,6
illinois coalition against domestic violence,7
natl alliance to end sexual violence,8
ctr for american liberty,9
natl assn of college and university business officers,10
mountain states policy ctr,11
colorado women’s bar assn,12
women employed,13
dra entities,14
consumer bankers assn,15
women’s bar assn of the state of new york,16
legal aid justice ctr,17
prolife ctr at the university of st. thomas,18
public justice,19
honest elections project,20
andrew goodman fdn,21
family equality,22
anglicans for life,23
securities industry and financial markets assn,24
mount holyoke college,25
tennessee firearms fdn,26
women’s law project,27
catholic legal immigration network,28
matthew shepard fdn,29
equality california,30
intl soc for krishna consciousness,31
aarp,32
hindu american fdn,33
in our own voice: natl black women’s reproductive justice agenda,34
natl league of cities,35
landmark legal fdn,36
authors guild,37
natl ctr for transgender equality,38
erisa industry comm,39
christian family coalition (cfc) florida,40
computer and communications industry assn,41
women’s bar assn of the district of columbia,42
criminal justice legal fdn,43
natl assn of criminal defense lawyers,44
mississippi ctr for justice,45
new york legal assistance grp,46
defense of freedom inst for policy studies,47
maine women’s lobby,48
natl assn of manufacturers,49
better markets,50
nike,51
american family assn,52
firearms policy fdn,53
louis d. brandeis ctr for human rights under law,54
verizon services,55
copyright alliance,56
disabled american veterans,57
innocence project,58
inst for free speech,59
natl assn of student financial aid administrators,60
natl right to life comm,61
niskanen ctr,62
aarp fdn,63
pricewaterhousecoopers llp,64
ethics and public policy ctr,65
tesla,66
progress florida,67
meta platforms,68
public counsel,69
restore the fourth,70
oca-asian pacific american advocates,71
natl district attorneys assn,72
intellectual property law assn of chicago,73
org of american historians,74
minkwon ctr for community action,75
natl inst of family and life advocates,76
viiv healthcare company,77
washington lawyers’ comm for civil rights and urban affairs,78
population connection action fund,79
natl network of abortion funds,80
giffords law ctr to prevent gun violence,81
natl coalition against censorship,82
natl queer asian pacific islander alliance,83
texas public policy fdn,84
central conference of american rabbis,85
internet assn,86
kentucky assn of sexual assault programs,87
ctia-the wireless assn,88
america’s health insurance plans,89
government finance officers assn,90
lambda legal defense and education fund,91
northwest immigrant rights project,92
arab american inst,93
campaign legal ctr,94
equal rights advocates,95
intl trademark assn,96
california women lawyers,97
new york intellectual property law assn,98
service women’s action network,99
college and university professional assn for human resources,100
anti-defamation league,101
citizens comm for the right to keep and bear arms,102
wasc senior college and university commission,103
chamber of commerce of the united states of america,104
public advocacy for kids,105
american intellectual property law assn,106
maryland family inst,107
independence inst,108
natl assn of counsel for children,109
council for christian colleges and universities,110
reporters comm for freedom of the press,111
chamber of progress,112
north carolina justice ctr,113
american values,114
natl women’s political caucus,115
illinois family inst,116
league of women voters of the united states,117
natl rural electric cooperative assn,118
agudath israel of america,119
religious coalition for reproductive choice,120
yankee inst,121
americans for limited government,122
american petroleum inst,123
natl apartment assn,124
ctr for constitutional jurisprudence,125
pregnancy justice,126
evangelical lutheran church in america,127
america’s future,128
natl hispanic media coalition,129
protect the 1st,130
authors alliance,131
paypal,132
natl assn for college admission counseling,133
women with a vision,134
we testify,135
engine advocacy,136
levi strauss and co.,137
new civil liberties alliance,138
assn for accessible medicines,139
competitive enterprise inst,140
ctr for democracy and technology,141
law enforcement legal defense fund,142
southwest women’s law ctr,143
american farm bureau fed,144
lonang inst,145
american free enterprise chamber of commerce,146
natl foreign trade council,147
dignityusa,148
refugee and immigrant ctr for education and legal services,149
jewish council for public affairs,150
american encore,151
realnetworks,152
natl rifle assn of america,153
microsoft corporation,154
uber technologies,155
coalition for humane immigrant rights,156
assn of american publishers,157
natl latina inst for reproductive justice,158
general council of the assemblies of god,159
latin america working grp,160
netchoice,161
people for the american way fdn,162
land ctr for cultural engagement,163
natl urban league,164
life legal defense fdn,165
amherst college,166
american council on education,167
natl collegiate athletic assn,168
natl right to work legal defense fdn,169
consumer fed of america,170
transgender law ctr,171
christian brothers university,172
fairness ctr,173
salesforce.com,174
asian american legal defense and education fund,175
second amendment fdn,176
family fdn (virginia),177
democrats for life,178
equally american legal defense and education fund,179
dkt liberty project,180
paralyzed veterans of america,181
western states sheriffs’ assn,182
family action council of tennessee,183
american atheists,184
wyoming mining assn,185
sexual violence prevention assn,186
america first policy inst,187
utah mining assn,188
second amendment law ctr,189
public citizen,190
northwest health law advocates,191
church of god in christ,192
juvenile law ctr,193
presidential coalition,194
massachusetts law reform inst,195
wisconsin inst for law and liberty,196
dri ctr for law and public policy,197
natl african american gun assn,198
natl domestic violence hotline,199
independent women’s law ctr,200
government accountability project,201
everthrive illinois,202
council for advancement and support of education,203
women’s liberation front,204
human rights campaign,205
equal protection project,206
natl assn of independent colleges and universities,207
japanese american citizens league,208
american academy of nursing,209
thumbtack,210
orthodox jewish chamber of commerce,211
jewish women intl,212
new jersey family fdn,213
natl medical assn,214
starbucks corporation,215
men and women for a representative democracy in america,216
natl assn of home builders,217
macalester college,218
rights watch intl,219
mozilla corporation,220
60 plus assn,221
johnson controls,222
american assn of christian schools,223
natl religious broadcasters,224
biotechnology innovation org,225
natl immigration project of the natl lawyers guild,226
apple,227
family fdn,228
freedom fdn,229
media law resource ctr,230
public knowledge,231
women lawyers assn of los angeles,232
tennessee firearms assn,233
first nations women’s alliance,234
justice in aging,235
rabbinical council of america,236
dri-the voice of the defense bar,237
beacon ctr of tennessee,238
american assn of state colleges and universities,239
hamilton college,240
software and information industry assn,241
information technology industry council,242
united synagogue of conservative judaism,243
american bar assn,244
quixote ctr,245
natl consumer law ctr,246
independent women’s forum,247
natl council on independent living,248
phi beta kappa,249
california rifle and pistol assn,250
advancement project,251
judicial watch,252
natl assn of diversity officers in higher education,253
natl assn of women lawyers,254
workers circle,255
children’s defense fund,256
women of reform judaism,257
lyft,258
advocates for youth,259
stand for georgia values action,260
american hospital assn,261
american humanist assn,262
naspa-student affairs administrators in higher education,263
natl cattlemen’s beef assn,264
natl press photographers assn,265
justice for migrant women,266
womxn project,267
women’s alliance for theology ethics and ritual,268
president of the house of deputies of the episcopal church,269
technet,270
vietnam veterans of america,271
women lawyers on guard,272
american medical assn,273
natl ctr for lesbian rights,274
assn of christian schools intl,275
torah umesorah,276
american psychiatric assn,277
american immigration lawyers assn,278
natl justice for our neighbors,279
american civil liberties union,280
samaritan’s purse,281
church of jesus christ of latter-day saints,282
famm,283
tradition family property,284
gun owners of america,285
afiya ctr,286
american library assn,287
wisconsin coalition against sexual assault,288
liberty counsel,289
free speech defense and education fund,290
haverford college,291
catholic charities usa,292
goldwater inst,293
transgender legal defense and education fund,294
interfaith alliance,295
california state sheriffs’ assn,296
rocky mountain immigrant advocacy network,297
american assn of people with disabilities,298
leukemia and lymphoma soc,299
judge david l. bazelon ctr for mental health law,300
bank policy inst,301
natl assn for gun rights,302
immigrant law ctr of minnesota,303
natl police accountability project,304
tea party patriots action,305
american medical women’s assn,306
natl legal fdn,307
natl parks conservation assn,308
catholic medical assn,309
natl council of young israel,310
natl abortion fed,311
natl lgbtq task force,312
natl apostolic christian leadership conference,313
american target advertising,314
battered women’s justice project,315
karamah: muslim women lawyers for human rights,316
natl taxpayers union fdn,317
child usa,318
connecticut citizens defense league,319
natl council of jewish women,320
league of california cities,321
disability rights advocates,322
natl retail fed,323
