year,number
20,961
18,1451
20,1089
23,168
22,361
23,418
21,1550
18,311
22,964
17,1703
22,821
18,1477
19,42
22,524
20,70
22,495
19,447
22,523
18,1368
20,562
21,848
18,2
21,337
18,879
18,881
23,289
21,562
21,826
20,23
19,1376
23,179
22,31
21,779
18,548
18,1417
20,1778
20,1531
20,1780
20,1530
17,1009
18,84
23,216
21,1511
18,1518
21,615
17,1517
22,333
22,969
19,1104
20,97
19,275
18,359
20,772
18,535
17,1426
21,609
21,629
22,142
19,1304
18,446
23,525
19,439
20,1334
20,815
22,367
20,148
23,524
21,519
23,786
19,831
23,758
20,1676
18,86
21,972
23,1083
19,835
20,1574
19,1145
21,910
22,393
20,818
22,579
22,1219
22,451
19,1189
21,454
