left_norm,right_norm,charsim,wordsim,ratio,partialratio,tokensort,tokenset,levenstein,jaro_winkler,first_letter_jaccard,combined_len,len_ratio,dc_reg_eq,openai_pred
d.c. assn of criminal defense lawyers,missouri org of defense lawyers,0.3857069145811006,0.5217199561907923,0.6176470588235294,0.6923076923076923,0.5294117647058824,0.7346938775510204,0.5405405405405406,0.7317528446560705,0.5,4.219507705176107,0.8378378378378378,0.0,0.050000000000000044
moravian church in america,moravian college,0.5718595763122898,0.6093775734608422,0.5238095238095238,0.7692307692307692,0.4761904761904761,0.6666666666666665,0.42307692307692313,0.8221153846153847,0.5,3.7376696182833684,0.6153846153846154,3.480572512659593e-05,0.09999999999999998
american constitutional rights union,ctr for human rights and constitutional law,0.5933860925201128,0.500296203384816,0.5316455696202531,0.6206896551724138,0.6075949367088608,0.736842105263158,0.2790697674418605,0.7214416451335056,0.42857142857142855,4.3694478524670215,0.8372093023255814,3.224647724426949e-05,0.8
california change lawyers,women’s fdn of california,0.31750767219827575,0.2697015336061973,0.4,0.5714285714285714,0.64,0.64,0.07999999999999996,0.5422222222222222,0.2,3.912023005428146,1.0,7.041090316378483e-05,0.09999999999999998
in the public interest,nebraska appleseed ctr for law in the public interest,0.5697905317974209,0.6475786392414588,0.5866666666666667,1.0,0.5866666666666667,1.0,0.41509433962264153,0.5801802710792722,0.375,4.31748811353631,0.41509433962264153,5.4677682835319475e-05,0.6
veterans,veterans legal services,0.5462966973790594,0.6401466331142653,0.5161290322580645,1.0,0.5161290322580645,1.0,0.34782608695652173,0.8695652173913043,0.3333333333333333,3.4339872044851463,0.34782608695652173,0.00018729825524355288,0.4
illinois health care assn,illinois primary health care assn,0.7731116606377672,0.8042627297356962,0.8620689655172413,0.8095238095238095,0.8620689655172413,1.0,0.7575757575757576,0.9035151515151515,0.8,4.060443010546419,0.7575757575757576,0.019746339158583016,0.19999999999999996
islam and religious freedom action team,islam and religious freedom action team religious freedom inst,0.9212249858956796,0.9229238078607929,0.7722772277227723,1.0,0.7722772277227723,1.0,0.6290322580645161,0.9258064516129032,1.0,4.61512051684126,0.6290322580645161,0.00019159632472113533,0.95
legal aid chicago,legal aid justice ctr,0.49881455359862487,0.6182420296166119,0.631578947368421,0.7407407407407408,0.6842105263157895,0.6923076923076923,0.5714285714285714,0.8613660848954966,0.75,3.6375861597263857,0.8095238095238095,8.470653531198503e-05,0.30000000000000004
americans for immigrant justice,immigrant justice corps,0.6514013263051063,0.5137432239619211,0.6296296296296297,0.85,0.7777777777777779,0.85,0.3548387096774194,0.737217901313273,0.4,3.9889840465642745,0.7419354838709677,0.00018415879255983923,0.30000000000000004
open net assn,texas.net,0.0843696573722489,0.6144778087989415,0.36363636363636365,0.5333333333333333,0.4545454545454546,0.45454545454545453,0.15384615384615385,0.584045584045584,0.0,3.091042453358316,0.6923076923076923,0.000745848285965014,0.09999999999999998
natl council of churches,natl council of churches of christ in the usa,0.7425656590803129,0.679609498676121,0.6956521739130435,1.0,0.6956521739130435,1.0,0.5333333333333333,0.9066666666666666,0.5,4.23410650459726,0.5333333333333333,1.610436684068663e-05,0.95
faith and freedom fdn,fdn for michigan freedom,0.34248267735432625,0.48672828589802647,0.5777777777777777,0.6666666666666667,0.48888888888888893,0.6875,0.33333333333333337,0.7654761904761905,0.3333333333333333,3.8066624897703196,0.875,0.0002482854301545889,0.7
natl alliance on mental illness,natl alliance on mental illness of texas,0.882191392953332,0.9222888441453698,0.8732394366197183,1.0,0.8732394366197183,1.0,0.775,0.955,0.8333333333333334,4.2626798770413155,0.775,0.0002605198575900532,0.9
ctr for human rights and constitutional law,human rights law network,0.4200033939072509,0.6113821630317164,0.5373134328358209,0.7083333333333333,0.4776119402985075,0.8,0.39534883720930236,0.5866143070855433,0.42857142857142855,4.204692619390966,0.5581395348837209,0.0001096498557198607,0.30000000000000004
aclu of puerto rico,vermont assn of criminal defense lawyers,0.02196311302133381,0.04589713996501491,0.27118644067796616,0.3783783783783784,0.4067796610169492,0.4067796610169491,0.17500000000000004,0.541531713900135,0.25,4.07753744390572,0.475,2.2649978399655455e-05,0.050000000000000044
american civil liberties union fdn,american civil liberties union of colorado,0.8172572393951189,0.7920726428002444,0.8684210526315791,0.9552238805970148,0.8421052631578947,0.9375,0.7857142857142857,0.9512605042016806,0.6666666666666666,4.330733340286331,0.8095238095238095,0.00010038776108676319,0.15000000000000002
ctr for medicine in the public interest,new york lawyers for the public interest,0.49589179655211124,0.5296959499032556,0.6582278481012658,0.7692307692307692,0.6835443037974683,0.7419354838709676,0.6,0.7175213675213675,0.4444444444444444,4.3694478524670215,0.975,6.992874725147287e-05,0.050000000000000044
american marine fund,coastal marine fund,0.6097868045694196,0.6566765491872221,0.717948717948718,0.8235294117647058,0.717948717948718,0.7333333333333333,0.65,0.7131578947368421,0.5,3.6635616461296463,0.95,0.06817869053142614,0.7
iowa bankers assn,swiss bankers assn,0.5795295444435048,0.5116716798359293,0.8,0.8666666666666667,0.8,0.8275862068965517,0.7222222222222222,0.8607843137254902,0.5,3.5553480614894135,0.9444444444444444,5.238894416076014e-05,0.050000000000000044
natl health law program,natl heath law program,0.8853522235812785,0.6298090266178078,0.9777777777777777,0.9545454545454546,0.9777777777777777,0.9777777777777777,0.9565217391304348,0.9731225296442687,1.0,3.8066624897703196,0.9565217391304348,5.5183085405950355e-05,0.95
family policy alliance of new jersey,new jersey family fdn,0.5415434877354951,0.70504668544379,0.3508771929824561,0.6451612903225806,0.5964912280701755,0.8947368421052632,0.19444444444444442,0.5062067562067561,0.5,4.04305126783455,0.5833333333333334,0.0001241267878141537,0.19999999999999996
california assn of lawyers for education,california change lawyers,0.5109701849239208,0.4776431011233944,0.6461538461538461,0.8,0.676923076923077,0.8372093023255814,0.5,0.876909090909091,0.3333333333333333,4.174387269895637,0.625,0.0,0.30000000000000004
access housing district of columbia,public defender service for the district of columbia,0.49417088862410746,0.47196863461824967,0.5977011494252873,0.7719298245614035,0.5287356321839081,0.7272727272727272,0.5,0.6659990547087321,0.3333333333333333,4.465908118654584,0.6730769230769231,0.0001174703684180088,0.0
advocates for human rights,intl fed for human rights,0.6308032854452458,0.606053316484883,0.7450980392156863,0.8444444444444444,0.7058823529411764,0.7804878048780488,0.6923076923076923,0.7897435897435899,0.6,3.9318256327243257,0.9615384615384616,4.7541044111076395e-05,0.30000000000000004
league of conservation voters,league of women voters of arizona,0.5407261672972773,0.6155380504705918,0.6451612903225806,0.7843137254901962,0.6774193548387097,0.7457627118644068,0.4545454545454546,0.8679289446185997,0.5,4.127134385045092,0.8787878787878788,2.3653700094134007e-05,0.8
assn of washington business,washington business properties assn,0.6924088781955126,0.6928398115065169,0.6129032258064516,0.826086956521739,0.8387096774193549,0.9411764705882354,0.3142857142857143,0.7334038800705468,0.6,4.127134385045092,0.7714285714285715,0.0012318431936318725,0.15000000000000002
alabama republican party,republican party of new mexico,0.47703414429177066,0.5808025047099337,0.5925925925925926,0.8,0.6666666666666667,0.8,0.2666666666666667,0.6014705882352941,0.3333333333333333,3.9889840465642745,0.8,0.004221490265199867,0.09999999999999998
american civil rights project,american civil rights union,0.7662895329408015,0.7338442118710728,0.8214285714285714,0.8979591836734694,0.75,0.875,0.7586206896551724,0.9289910600255429,0.6,4.02535169073515,0.9310344827586207,7.563663458078017e-05,0.09999999999999998
action for life,students for life of america,0.38910836193010845,0.4491372720321082,0.5116279069767442,0.6666666666666667,0.5116279069767442,0.6956521739130435,0.3571428571428571,0.6231379731379731,0.6,3.7612001156935624,0.5357142857142857,0.00023174083128790345,0.19999999999999996
ctr for family and human rights,intl fed for human rights,0.5189003604869026,0.5673221769925181,0.6428571428571428,0.7555555555555555,0.6428571428571428,0.7804878048780488,0.5483870967741935,0.7713697989714822,0.5,4.02535169073515,0.8064516129032258,1.238274688132495e-05,0.30000000000000004
verizon,verizon services,0.6523155231698161,0.8494607320896732,0.6086956521739131,1.0,0.6086956521739131,1.0,0.4375,0.8875,0.5,3.1354942159291497,0.4375,2.604798800183825e-05,0.19999999999999996
federal public defender district of alaska,federal public defender for the district of arizona,0.7314677432734349,0.6962288108397555,0.8172043010752688,0.8095238095238095,0.8172043010752688,0.9090909090909091,0.7450980392156863,0.8983930414270971,0.8333333333333334,4.532599493153256,0.8235294117647058,0.0013300944957402086,0.050000000000000044
washington lawyers’ comm,washington lawyers’ comm for civil rights and urban affairs,0.6012710469399623,0.574904680630231,0.5783132530120482,1.0,0.5783132530120482,1.0,0.4067796610169492,0.8813559322033898,0.42857142857142855,4.418840607796598,0.4067796610169492,8.88173630973868e-05,0.95
new mexico hospital assn,new mexico mining assn,0.5840643394323961,0.6312610113639308,0.7391304347826086,0.6818181818181819,0.6521739130434783,0.8108108108108109,0.7083333333333333,0.8726827094474153,0.75,3.828641396489095,0.9166666666666666,4.668878535644825e-05,0.050000000000000044
alabama republican party,republican party of arizona,0.5252332615497598,0.6482529218827995,0.6274509803921569,0.8,0.7450980392156863,0.8,0.2962962962962963,0.6738953866146847,0.75,3.9318256327243257,0.8888888888888888,0.004221490265199867,0.050000000000000044
aclu of massachusetts,trucking assn of massachusetts,0.6710092786493581,0.5189546907685602,0.7058823529411764,0.8947368421052632,0.7058823529411764,0.8648648648648648,0.6,0.7396825396825397,0.75,3.9318256327243257,0.7,7.452148379001857e-06,0.0
alliance for automotive innovation,assn for american innovation,0.46157232442869206,0.5513378863036333,0.6774193548387097,0.7037037037037037,0.6774193548387097,0.6774193548387097,0.5882352941176471,0.7314075630252102,1.0,4.127134385045092,0.8235294117647058,5.0732144969592606e-05,0.19999999999999996
alabama coalition for immigrant justice,new jersey alliance for immigrant justice,0.5166270404118617,0.48746972300842767,0.675,0.782608695652174,0.675,0.7,0.6097560975609756,0.7225349176568688,0.6666666666666666,4.382026634673881,0.9512195121951219,0.00016962841463192733,0.050000000000000044
apartment assn of greater los angeles,apartment assn of los angeles county dba apartment assn of greater los angeles,0.8958042194102022,0.9184321464018307,0.6434782608695653,1.0,0.6434782608695653,1.0,0.47435897435897434,0.857033957033957,0.6666666666666666,4.74493212836325,0.47435897435897434,0.006109340484953643,0.0
illinois family inst,illinois policy inst,0.6358889900991983,0.6769923383369122,0.8,0.8,0.65,0.8,0.8,0.928235294117647,0.3333333333333333,3.6888794541139363,1.0,7.400298342559707e-05,0.09999999999999998
knife rights,knife rights fdn,0.9010671571305995,0.9204202706692872,0.8571428571428572,1.0,0.8571428571428572,1.0,0.75,0.95,0.6666666666666666,3.332204510175204,0.75,0.0007701701901538184,0.95
arizona assn for justice,nevada attorneys for criminal justice,0.2599801283304469,0.3044349369404771,0.5573770491803278,0.6153846153846154,0.5573770491803278,0.6285714285714286,0.4054054054054054,0.6713320463320462,0.6,4.110873864173311,0.6486486486486487,1.878136629861255e-05,0.0
innovation alliance,innovation defense fdn,0.5568270975423023,0.6284336962802407,0.6341463414634146,0.75,0.6341463414634146,0.689655172413793,0.5454545454545454,0.8396393080603607,0.25,3.713572066704308,0.8636363636363636,5.89362267357097e-05,0.15000000000000002
constitution party natl comm,green party of the united states,0.22466030478728652,0.2322390380729893,0.3666666666666667,0.4390243902439024,0.30000000000000004,0.5,0.15625,0.5869708994708994,0.125,4.0943445622221,0.875,4.5935970622211755e-05,0.050000000000000044
presbyterians affirming reproductive choice,presbyterians affirming reproductive options,0.8598162703616947,0.7680131993569386,0.896551724137931,0.9382716049382716,0.896551724137931,0.9113924050632911,0.8636363636363636,0.9586680761099367,0.6,4.465908118654584,0.9772727272727273,0.0002495913459667868,0.85
wisconsin conservation voters,wisconsin voter alliance,0.6637637349025549,0.30855970210180605,0.6415094339622642,0.6956521739130435,0.7169811320754718,0.7169811320754716,0.5517241379310345,0.891256157635468,0.5,3.970291913552122,0.8275862068965517,3.336664584885001e-05,0.15000000000000002
sierra club,sierra health fdn,0.5857462507177671,0.6110183348169507,0.5714285714285714,0.7777777777777779,0.5714285714285714,0.7058823529411765,0.47058823529411764,0.8395721925133689,0.25,3.332204510175204,0.6470588235294118,2.8552655454564123e-05,0.050000000000000044
american civil liberties union fdn of northern california,american civil liberties union of florida,0.6444535023319884,0.6774289439339394,0.7959183673469387,0.8918918918918919,0.7346938775510203,0.8918918918918919,0.6666666666666667,0.9292255027813436,0.8571428571428571,4.584967478670572,0.7192982456140351,6.323768659459499e-05,0.050000000000000044
ctr for environmental accountability,ctr for intl environmental law,0.6346981017942168,0.6162501689361267,0.696969696969697,0.8679245283018868,0.6363636363636364,0.8235294117647058,0.5,0.8707407407407407,0.5,4.189654742026425,0.8333333333333334,0.0,0.15000000000000002
california retail assn,california retailers assn,0.8407346067915916,0.3399236416901233,0.9361702127659575,0.8717948717948718,0.9361702127659575,0.9361702127659575,0.88,0.9669090909090909,1.0,3.8501476017100584,0.88,8.56045078833032e-05,0.95
democracy 21,project 21 black leadership network,0.1025768470300147,0.43856964359391926,0.21276595744680848,0.4545454545454546,0.34042553191489366,0.3404255319148936,0.11428571428571432,0.5208994708994709,0.16666666666666666,3.8501476017100584,0.34285714285714286,5.459234183118043e-05,0.050000000000000044
e-watch,judicial watch,0.36269531513007774,0.6338164728828266,0.4761904761904761,0.8333333333333335,0.4761904761904761,0.4761904761904762,0.3571428571428571,0.30952380952380953,0.0,3.044522437723423,0.5,2.141561445511503e-05,0.09999999999999998
ctr for children’s law and policy,ctr for the study of social policy,0.27903400138396744,0.3642082878236529,0.6268656716417911,0.6060606060606061,0.44776119402985076,0.6268656716417911,0.5,0.8345739750445633,0.375,4.204692619390966,0.9705882352941176,9.459195393484788e-05,0.09999999999999998
north carolina farm bureau,north dakota farm bureau,0.6247679549967639,0.7226086414829983,0.84,0.7916666666666665,0.84,0.84,0.8076923076923077,0.8889194139194139,0.6,3.912023005428146,0.9230769230769231,0.00035076956610484444,0.050000000000000044
casa,casa de maryland,0.4551634570244747,0.645863568637213,0.4,1.0,0.4,1.0,0.25,0.85,0.3333333333333333,2.995732273553991,0.25,0.00010085003609583045,0.95
aclu of mississippi,mississippi ctr for justice,0.5791657952217961,0.49391368173417627,0.4782608695652174,0.7333333333333334,0.6086956521739131,0.7333333333333333,0.11111111111111116,0.6448992852501624,0.16666666666666666,3.828641396489095,0.7037037037037037,3.1223133987832706e-05,0.09999999999999998
bar assn of the district of columbia,d.c. assn of criminal defense lawyers,0.12449144206807282,0.16540769553050616,0.4383561643835616,0.5,0.4657534246575342,0.4857142857142857,0.2702702702702703,0.6189939939939939,0.5714285714285714,4.290459441148391,0.972972972972973,0.0,0.09999999999999998
american free enterprise chamber of commerce,chamber of commerce of the united states of america,0.4903367968783237,0.45133186871886893,0.5052631578947369,0.6031746031746033,0.6526315789473685,0.7640449438202248,0.3921568627450981,0.6562685680332739,0.375,4.553876891600541,0.8627450980392157,0.00037770243582597096,0.19999999999999996
california tribal police chiefs assn,natl assn of chiefs of police,0.5137105257206315,0.6073517235776256,0.4307692307692308,0.48275862068965514,0.5846153846153845,0.8181818181818181,0.19444444444444442,0.6512438225331779,0.5,4.174387269895637,0.8055555555555556,5.4506446381439004e-05,0.19999999999999996
islam and religious freedom action team of the religious freedom inst,religious freedom inst,0.8044025123372601,0.7656866232133873,0.4835164835164834,1.0,0.4835164835164834,1.0,0.3188405797101449,0.6214317083882301,0.5,4.51085950651685,0.3188405797101449,0.00014979467952651006,0.95
california assn of realtors,new york assn of realtors®,0.5344217632755169,0.6633254970360689,0.7169811320754718,0.7916666666666665,0.679245283018868,0.679245283018868,0.6666666666666667,0.7533238366571701,0.5,3.970291913552122,0.9629629629629629,0.0007367627509580674,0.050000000000000044
