original_name,mapped_name
40 days for life,40 Days for Life
forty days for life,40 Days for Life
60 plus assn,60 Plus Association
60 plus fdn,60 Plus Association
60plus american assn of senior citizens,60 Plus Association
9to5,"9to5, National Association of Working Women"
9to5 natl assn of working women,"9to5, National Association of Working Women"
aasa the school superintendents assn,"AASA, The School Superintendents Association"
aasa the superintendents assn,"AASA, The School Superintendents Association"
aasa-the school superintendents assn,"AASA, The School Superintendents Association"
school superintendents assn,"AASA, The School Superintendents Association"
activism caucus of the assn for women in psychology,Activism Caucus of The Association For Women In Psychology
assn for women in psychology,Activism Caucus of The Association For Women In Psychology
advancement project,Advancement Project
advancement project natl office,Advancement Project
aerospace industries assn,"Aerospace Industries Association of America, Inc."
aerospace industries assn of america,"Aerospace Industries Association of America, Inc."
agudas harabbonim,Agudas Harabbonim
agudas harabonim,Agudas Harabbonim
alameda county public defender,Alameda County Public Defender
alameda county public defenders,Alameda County Public Defender
aldea-the people’s justice ctr,Aldea - The People's Justice Center
aldea-the peoples justice ctr,Aldea - The People's Justice Center
alliance of u.s. startups,Alliance of U.S. Startups & Inventors for Jobs
alliance of u.s. startups and inventors for jobs,Alliance of U.S. Startups & Inventors for Jobs
inventors for jobs,Alliance of U.S. Startups & Inventors for Jobs
america first legal,America First Legal Foundation
america first legal fdn,America First Legal Foundation
america’s health insurance plans,America’s Health Insurance Plans
americas health insurance plans,America’s Health Insurance Plans
american assn of senior citizens,American Association of Senior Citizens
american assn of university women,American Association of University Women
american assn of university women of florida,American Association of University Women
american assn of university women-michigan chapter,American Association of University Women
aclu fdn of arizona,American Civil Liberties Union
aclu fdn of kansas,American Civil Liberties Union
aclu fdn of louisiana,American Civil Liberties Union
aclu fdn of oregon,American Civil Liberties Union
aclu fdn of texas,American Civil Liberties Union
aclu of florida,American Civil Liberties Union
aclu of georgia,American Civil Liberties Union
aclu of idaho,American Civil Liberties Union
aclu of indiana,American Civil Liberties Union
aclu of kentucky fdn,American Civil Liberties Union
aclu of louisiana,American Civil Liberties Union
aclu of michigan,American Civil Liberties Union
aclu of minnesota,American Civil Liberties Union
aclu of new jersey,American Civil Liberties Union
aclu of new mexico,American Civil Liberties Union
aclu of pennsylvania,American Civil Liberties Union
aclu of texas,American Civil Liberties Union
aclu of the district of columbia,American Civil Liberties Union
aclu of washington,American Civil Liberties Union
american civil liberties union,American Civil Liberties Union
american civil liberties union fdn,American Civil Liberties Union
american civil liberties union fdn of arizona,American Civil Liberties Union
american civil liberties union fdn of maine,American Civil Liberties Union
american civil liberties union fdn of maryland,American Civil Liberties Union
american civil liberties union fdn of northern california,American Civil Liberties Union
american civil liberties union fdn of virginia,American Civil Liberties Union
american civil liberties union of alabama,American Civil Liberties Union
american civil liberties union of arizona,American Civil Liberties Union
american civil liberties union of colorado,American Civil Liberties Union
american civil liberties union of florida,American Civil Liberties Union
american civil liberties union of georgia,American Civil Liberties Union
american civil liberties union of illinois,American Civil Liberties Union
american civil liberties union of massachusetts,American Civil Liberties Union
american civil liberties union of michigan,American Civil Liberties Union
american civil liberties union of mississippi,American Civil Liberties Union
american civil liberties union of missouri,American Civil Liberties Union
american civil liberties union of nebraska,American Civil Liberties Union
american civil liberties union of nevada,American Civil Liberties Union
american civil liberties union of north carolina legal fdn,American Civil Liberties Union
american civil liberties union of northern california,American Civil Liberties Union
american civil liberties union of oklahoma,American Civil Liberties Union
american civil liberties union of rhode island,American Civil Liberties Union
american civil liberties union of southern california,American Civil Liberties Union
american civil liberties union of texas,American Civil Liberties Union
american civil liberties union of the district of columbia,American Civil Liberties Union
american civil liberties union of virginia,American Civil Liberties Union
american civil liberties union of washington,American Civil Liberties Union
texas civil liberties union,American Civil Liberties Union
american conservative union and acu fdn,American Conservative Union Foundation
american conservative union fdn,American Conservative Union Foundation
american conservative union fdn nolan ctr for justice,American Conservative Union Foundation
nolan ctr for justice,American Conservative Union Foundation
american family assn,American Family Association
american family assn action,American Family Association
american farm bureau fed,American Farm Bureau Federation
nebraska farm bureau fed,American Farm Bureau Federation
american fed of labor and congress of industrial org,American Federation of Labor and Congress of Industrial Organizations
utah american fed of labor and congress of industrial org,American Federation of Labor and Congress of Industrial Organizations
american fed of state county and municipal employees,"American Federation of State, County and Municipal Employees"
american fed of state county and municipal employees afl-cio,"American Federation of State, County and Municipal Employees"
american fed of teachers,American Federation of Teachers
american fed of teachers (afl-cio),American Federation of Teachers
american fed of teachers afl-cio,American Federation of Teachers
american fuel and petrochemical manufacturers,American Fuel & Petrochemical Manufacturers
american fuels and petrochemical manufacturers assn,American Fuel & Petrochemical Manufacturers
american g.i. forum,American GI Forum
american gi forum,American GI Forum
american gi forum-natl veterans outreach program,American GI Forum
american islamic conference,American Islamic Congress
american islamic congress,American Islamic Congress
american right to life,American Right to Life
colorado right to life,American Right to Life
right to life,American Right to Life
american soc for gastrointestinal endoscopy,American Society of Gastrointestinal Endoscopy
american soc of gastrointestinal endoscopy,American Society of Gastrointestinal Endoscopy
american vape company,"American Vape Company, LLC d/b/a Ludicrous Distro"
american vape company d/b/a ludicrous distro,"American Vape Company, LLC d/b/a Ludicrous Distro"
american vaping manufacturers assn,American Vaping Manufacturers Association
american vapor manufacturers assn,American Vaping Manufacturers Association
americans for immigrant justice,Americans for Immigrant Justice
americans for immigrant justice (ai justice),Americans for Immigrant Justice
americans for limited government,Americans for Limited Government
americans for limited government research fdn,Americans for Limited Government
americans for prosperity,Americans for Prosperity Foundation
americans for prosperity fdn,Americans for Prosperity Foundation
amnesty intl,Amnesty International
amnesty intl usa,Amnesty International
adl (anti-defamation league),Anti-Defamation League
adl (the anti-defamation league),Anti-Defamation League
anti-defamation league,Anti-Defamation League
anti-defamation league of b’nai b’rith,Anti-Defamation League
apartment assn of greater los angeles,"Apartment Association of Los Angeles County, Inc."
apartment assn of los angeles county,"Apartment Association of Los Angeles County, Inc."
apartment assn of los angeles county dba apartment assn of greater los angeles,"Apartment Association of Los Angeles County, Inc."
arizona farm bureau fed,Arizona Farm Bureau Federation
state farm bureau org of arizona,Arizona Farm Bureau Federation
arizona prosecuting attorneys advisory council,Arizona Prosecuting Attorneys’ Advisory Council
arizona prosecuting attorneys’ advisory council,Arizona Prosecuting Attorneys’ Advisory Council
arizona republican party,Arizona Republican Party
republican party of arizona,Arizona Republican Party
article 19,Article 19: Global Campaign for Free Expression
article 19: global campaign for free expression,Article 19: Global Campaign for Free Expression
asian and pacific islander american health forum,Asian & Pacific Islander American Health Forum
asian and pacific islander health forum,Asian & Pacific Islander American Health Forum
aapi youth rising,Asian American Youth Rising (AAPI Youth Rising)
asian american youth rising (aapi youth rising),Asian American Youth Rising (AAPI Youth Rising)
asian americans advancing justice,Asian Americans Advancing Justice | AAJC
asian americans advancing justice | aajc,Asian Americans Advancing Justice | AAJC
asian americans advancing justice southern california,Asian Americans Advancing Justice | AAJC
asian americans advancing justice-aajc,Asian Americans Advancing Justice | AAJC
asian americans advancing justice-asian law caucus,Asian Americans Advancing Justice | AAJC
asian americans advancing justice-atlanta,Asian Americans Advancing Justice | AAJC
asian americans advancing justice-los angeles,Asian Americans Advancing Justice | AAJC
asian americans advancing justice-southern california,Asian Americans Advancing Justice | AAJC
asian pacific american gun owners assn,Asian Pacific American Gun Owners Assoc.
asian pacific american gun owners assoc.,Asian Pacific American Gun Owners Assoc.
asian pacific american labor alliance,Asian Pacific American Labor Alliance
asian pacific american labor alliance afl-cio,Asian Pacific American Labor Alliance
asian pacific inst on gender based violence,Asian Pacific Institute on Gender-Based Violence
asian pacific inst on gender-based violence,Asian Pacific Institute on Gender-Based Violence
asian pacific islander domestic violence resource project,Asian/Pacific Islander Domestic Violence Resource Project
asian/pacific islander domestic violence resource project,Asian/Pacific Islander Domestic Violence Resource Project
askeladden,Askeladden L.L.C.
askeladden l.l.c.,Askeladden L.L.C.
aspira,ASPIRA of New York
aspira assn,ASPIRA of New York
aspira of new york,ASPIRA of New York
assembly of canonical orthodox bishops of the united states of america,Assembly of Canonical Orthodox Bishops of the United States of America
assembly of canonical orthodox bishops of the usa,Assembly of Canonical Orthodox Bishops of the United States of America
american assn of railroads,Association of American Railroads
assn of american railroads,Association of American Railroads
assn for mature american citizens action,Association of Mature American Citizens (AMAC)
assn of mature american citizens,Association of Mature American Citizens (AMAC)
assn of mature american citizens action,Association of Mature American Citizens (AMAC)
assn of oil pipe lines,Association of Oil Pipe Lines
assn of oil pipelines,Association of Oil Pipe Lines
assn of american indian affairs,Association on American Indian Affairs
assn on american indian affairs,Association on American Indian Affairs
bayer,Bayer US LLC
bayer us,Bayer US LLC
blue cross and blue shield of kansas city,Blue Cross Blue Shield Association
blue cross and blue shield of vermont,Blue Cross Blue Shield Association
blue cross blue shield assn,Blue Cross Blue Shield Association
bold futures,Bold Futures NM
bold futures nm,Bold Futures NM
brennan ctr for justice,Brennan Center for Justice at NYU School of Law
brennan ctr for justice at n.y.u. school of law,Brennan Center for Justice at NYU School of Law
brennan ctr for justice at nyu school of law,Brennan Center for Justice at NYU School of Law
bristol myers squibb,Bristol Myers Squibb
bristol-myers squibb company,Bristol Myers Squibb
buckeye firearms assn,Buckeye Firearms Association
buckeye firearms fdn,Buckeye Firearms Association
business roundtable,Business Roundtable
