pair,are_same_entity,confidence,left_norm,right_norm
1,False,0.9,american financial services assn,harpeth financial services
2,False,0.9,jewish pro-life fdn,pro-life action ministries
3,False,0.95,american bakers assn,iowa bankers assn
4,False,0.8,cornell free speech alliance,inst for free speech
5,False,0.95,buckeye firearms assn,buckeye inst for public policy solutions
6,False,0.95,freedom fdn,minnesota freedom fund
7,False,0.9,freedom from religion fdn,institutional religious freedom alliance
8,True,0.95,american fed of state county and municipal employees,american fed of state county and municipal employees afl-cio
9,False,0.95,american vapor manufacturers assn,texas assn of manufacturers
10,False,0.9,americans for prosperity,americans for prosperity fdn
1,False,0.3,military / veterans coalition of indiana,military-veterans advocacy
2,True,0.9,faith and freedom coalition,faith and freedom fdn
3,False,0.95,aclu of the district of columbia,captive insurance council of the district of columbia
4,False,0.4,americans for immigrant justice,immigrant legal ctr
5,False,0.3,assn for education fairness,fairness ctr
6,False,0.95,defender assn of philadelphia,lgbtq bar assn of philadelphia
7,False,0.95,minnesota trucking assn,south dakota trucking assn
8,False,0.95,right to immigration inst,right to life
9,False,0.95,assn of minnesota counties,texas assn of counties
10,False,0.9,american civil liberties union fdn of northern california,american civil liberties union of nevada
1,False,0.9,american independent natl comm,independent bakers assn
2,False,0.9,catholic medical assn,natl assn of medical examiners
3,False,0.7,community health grp,natl assn of community health ctr
4,False,0.9,autonomic technologies,vilox technologies
5,False,0.95,atlanta legal aid soc,legal aid soc of san mateo county
6,False,0.95,criminal defense attorneys,montana assn of criminal defense lawyers
7,False,0.8,ctr for individual rights,fdn for individual rights in education
8,False,0.95,district attorneys’ assn of georgia,pennsylvania district attorneys assn
9,False,0.95,federal public defender district of alaska,federal public defender for the district of oregon
10,False,0.9,encore fiduciary,euclid fiduciary
1,True,0.95,t’ruah: the rabbinic call for human rights,t’ruah: the rabbinical call for human rights
2,False,0.7,lifeline children’s services,project lifeline
3,False,0.8,freedom fdn,woodhull freedom fdn
4,True,0.9,glma: health professionals advancing lgbtq equality,glma: health professionals advancing lgbtq+ equality
5,False,0.85,criminal defense attorneys,criminal defense attorneys of michigan
6,False,0.75,ctr for constitutional rights,robertson ctr for constitutional law
7,False,0.9,community legal services,natl veterans legal services program
8,False,0.95,assn of minnesota counties,missouri assn of counties
9,False,0.8,city of hope,new hope
10,False,0.95,alabama criminal defense lawyers assn,district of columbia assn of criminal defense lawyers
1,False,0.9,assn of criminal defense lawyers of new jersey,washington assn of criminal defense lawyers
2,False,0.95,operation save america,save the sound
3,False,0.9,south carolina coalition against domestic violence and sexual assault,washington coalition against domestic violence
4,False,0.95,pennsylvania manufacturers assn,texas assn of manufacturers
5,False,0.8,children’s ctr,young ctr for immigrant children’s rights
6,False,0.85,american muslim bar assn,muslim bar assn of new york
7,False,0.9,california county gun owners,owners’ counsel of america
8,False,0.7,california public defenders assn,public defender assn
9,True,0.95,centro legal de la raza,la raza centro legal san francisco
10,False,0.95,american medical assn,christian medical and dental assn
1,False,0.9,california public defenders assn,mississippi public defenders assn
2,False,0.8,fox valley apartment assn,natl apartment assn
3,False,1.0,rhode island bible soc,rhode island trucking assn
4,False,0.7,american encore,encore fiduciary
5,False,0.6,comm for public counsel services,public counsel (california)
6,False,0.7,justice action ctr,legal action ctr
7,False,0.9,federal defender for the district of arizona,federal public defender central district of california
8,False,0.8,unitarian universalist church,unitarian universalist soc: east
9,False,0.9,maryland family inst,maryland public policy inst
10,False,0.95,colorado psychological assn,michigan psychological assn
1,False,0.9,children’s ctr,transgender children’s legal defense fund
2,False,0.8,60plus american assn of senior citizens,american assn of senior citizens
3,False,0.95,columbia union conference of seventh-day adventists,north pacific union conference of seventh-day adventists
4,False,0.9,community legal services,veterans
5,False,0.9,california charter schools assn,natl alliance for public charter schools
6,False,0.85,ctr for medicine in the public interest,public interest law ctr
7,False,0.85,natl assn of human rights workers,natl inst for workers’ rights
8,False,0.95,nevada mining assn,nevada vaping assn
9,False,0.8,alliance for justice,comm for justice
10,False,0.95,arkansas assn of chiefs of police,oklahoma assn of chiefs of police
1,False,0.8,connecticut criminal defense attorneys assn,defense attorneys
2,False,0.7,georgia conservation voters,georgia conservation voters education fund
3,False,0.95,connecticut criminal defense attorneys assn,maryland criminal defense attorneys’ assn
4,False,0.9,american tax policy inst,defense of freedom inst
5,False,0.85,american farm bureau fed,virginia farm bureau
6,False,0.7,faith and freedom fdn,freedom fdn
7,False,0.9,community legal services of philadelphia,sisters of st. francis of philadelphia
8,False,0.9,alabama coalition for immigrant justice,immigrant justice idaho
9,False,0.8,ctr for environmental accountability,justice and corporate accountability project
10,False,0.95,alliance for justice,inst for justice
1,True,0.9,naspa-student affairs administrators in higher education,student affairs administrators in higher education
2,False,0.95,american college of surgeons,assn of american physicians and surgeons
3,False,0.95,new mexico district attorneys assn,new mexico sheriffs’ assn
4,False,0.9,american assn for justice,ctr for justice and freedom
5,False,1.0,st. louis river,washington university in st. louis
6,False,0.95,everytown for gun safety,gun owners fdn
7,False,0.95,indiana university,indiana wesleyan university
8,True,0.85,california farm bureau,california farm bureau fed
9,False,0.95,american fed of teachers,soc of american law teachers
10,False,0.85,children’s rights,ctr for the human rights of children
1,False,0.9,alabama criminal defense lawyers assn,illinois assn of criminal defense lawyers
2,False,0.9,assn of criminal defense lawyers of new jersey,central florida assn of criminal defense lawyers
3,False,0.8,atlanta legal aid soc,legal aid at work
4,True,0.95,whole woman’s health alliance,whole woman’s health alliance (va mn in tx)
5,False,0.9,ctr for american rights,ctr for constitutional rights
6,False,0.95,everytown for gun safety,gun owners fdn.
7,False,0.95,california attorneys for criminal justice,connecticut criminal defense attorneys assn
8,False,0.9,american free enterprise chamber of commerce,minnesota chamber of commerce
9,False,0.85,immigrant justice task force of the wellington avenue united church of christ,united church of christ
10,True,0.9,indivisible,indivisible project
1,False,0.9,american cancer soc,natl childrens cancer soc
2,False,0.7,arizona prosecuting attorneys advisory council,assn of prosecuting attorneys
3,False,0.8,maryland crime victims resource ctr,natl ctr for victims of crime
4,False,0.95,aclu of the district of columbia,bar assn of the district of columbia
5,False,0.95,new mexico district attorneys assn,new mexico trucking assn
6,False,0.95,aclu of puerto rico,maine assn of criminal defense lawyers
7,False,0.6,fdn for michigan freedom,freedom ctr fdn
8,False,0.7,advocates for faith and freedom,faith and freedom fdn
9,True,0.95,asian americans advancing justice,asian americans advancing justice | aajc
10,True,0.95,bazelon ctr for mental health law,judge david l. brazelon ctr for mental health law
1,True,0.9,natl assn of catholic nurses u.s.a.,natl assn of catholic nurses usa
2,True,0.85,assemblies of god,general council of the assemblies of god
